"_id","im1","im2","w1","w2","t","u"
3,38,20,1,1,2,false
4,49,27,0,2,2,false
5,88,59,1,1,2,false
6,73,68,0,2,2,false
7,47,12,2,0,2,false
8,33,10,1,1,2,false
9,39,34,2,0,2,false
10,88,81,1,1,2,false
11,94,8,1,1,2,false
1,61,35,1,1,2,false
12,76,58,0,2,2,false
13,66,1,2,0,2,false
15,73,26,2,0,2,false
14,97,56,1,1,2,false
16,31,1,2,0,2,false
18,91,25,0,2,2,false
17,36,34,2,0,2,false
19,49,43,0,2,2,false
20,91,68,1,1,2,false
2,45,13,0,2,2,false
0,52,1,1,1,2,false
21,31,21,2,0,2,false
22,73,9,1,1,2,false
23,26,6,2,0,2,false
24,91,50,2,0,2,false
25,85,37,2,0,2,false
28,23,0,0,2,2,false
29,11,2,2,0,2,false
30,90,43,0,2,2,false
27,72,64,1,1,2,false
32,32,23,2,0,2,false
33,76,46,0,2,2,false
34,54,46,2,0,2,false
35,82,70,1,1,2,false
26,80,2,2,0,2,false
37,86,64,1,1,2,false
31,26,5,1,1,2,false
36,46,6,1,1,2,false
40,91,38,0,2,2,false
38,98,12,1,1,2,false
43,48,41,0,2,2,false
41,76,72,0,2,2,false
44,59,50,2,0,2,false
39,81,41,0,2,2,false
42,32,4,1,1,2,false
45,71,59,2,0,2,false
47,87,27,2,0,2,false
49,88,45,2,0,2,false
50,90,1,1,1,2,false
52,64,32,1,1,2,false
51,93,73,2,0,2,false
53,56,46,0,2,2,false
54,52,9,0,2,2,false
48,43,17,2,0,2,false
56,71,28,2,0,2,false
57,91,29,0,2,2,false
59,86,12,1,1,2,false
58,82,20,0,2,2,false
61,74,6,2,0,2,false
60,83,5,1,1,2,false
63,67,10,0,2,2,false
46,98,82,2,0,2,false
64,22,3,1,1,2,false
66,64,40,0,2,2,false
67,79,42,0,2,2,false
68,60,5,2,0,2,false
69,46,20,1,1,2,false
70,99,38,0,2,2,false
71,86,10,2,0,2,false
72,87,36,1,1,2,false
65,46,19,1,1,2,false
73,88,31,0,2,2,false
74,66,41,2,0,2,false
75,77,71,0,2,2,false
77,99,37,0,2,2,false
